Name;GPEarnings;GoodsEarnings;InflucenceEarnings;LaborEarnings;MagicEarnings;CapitalEarnings;Benefit;GPCreate;GoodsCreate;InfluenceCreate;LaborCreate;MagicCreate;DaysCreate;MinSize;MaxSize;UpgradeFrom;UpgradeTo;Description;
Acolyte;4;0;4;0;4;0;Spellcaster;440;2;2;2;3;3;1;1;N/A;"Priest,Sage";"An Acolyte is a newly trained divine spellcaster, sufficient for tending to the sick or advising on religious matters. An Acolyte is typically a 1st-level adept, cleric, druid, or oracle, with light armor (or no armor if an adept) and a weapon appropriate to her faith.";
Apprentice;4;0;4;0;4;0;Spellcaster;520;2;2;1;4;3;1;1;N/A;"Mage,Sage";"An Apprentice is a newly-trained arcane spellcaster, sufficient for helping with magical rituals, generating flashy effects, or advising on magical matters. An Apprentice is typically a 1st-level bard, sorcerer, summoner, witch, or wizard.";
Archers;6;0;6;6;0;0;N/A;310;4;3;7;0;4;2;5;Soldiers;Elite Archers;"Archers are soldiers trained to use projectile weapons. They are typically 1st-level warriors, each with scale mail, a longbow, a buckler, and a longsword.";
Bureaucrats;4;0;4;0;0;0;N/A;200;2;4;2;0;2;2;5;"Scofflaws,Soldiers";N/A;"Bureaucrats interface with local government and deal with annoying paperwork related to running a business or organization. This type of team could include accountants, diplomats, lawyers, and scribes. a typical bureaucrat is a 1st-, 2nd-, or 3rd-level expert with ranks in Bluff, Diplomacy, Intimidate, Knowledge (local), Linguistics, and Profession (barrister, clerk, or scribe).";
Cavalry;7;0;7;7;0;0;N/A;410;8;3;8;0;6;2;5;"Elite Soldiers,Soldiers";Cavalry Archers;"Cavalry are soldiers trained to ride mounts in combat. They are typically 3rd-level warriors, each equipped with breastplate armor, a longsword, a lance, and a heavy steel shield and riding a combat-trained light horse.";
Cavalry Archers;8;0;8;8;0;0;N/A;470;9;3;10;0;7;2;5;"Cavalry,Elite Archers";N/A;"Cavalry Archers are soldiers trained to ride mounts and use ranged weapons in combat before closing to melee. They are typically 3rd-level warriors, each equipped with breastplate armor, a short bow, a longsword, a lance, and a heavy steel shield and riding a combat-trained light horse.";
Craftspeople;4;4;0;4;0;0;N/A;200;3;2;4;0;2;1;3;N/A;N/A;"Craftspeople are trained in a particular Craft or Profession skill and make a living using that skill. Examples of this team are alchemists, carpenters, leatherworkers, masons, and smiths. A typical carpenter is a 4th-level expert with 4 ranks each in Climb, Craft (carpentry), Diplomacy, and Knowledge (engineering and local). Craftspeople in other fields have a similar skill arrangement.";
Cutpurses;3;3;0;3;0;0;N/A;110;0;3;1;0;1;2;5;N/A;Robbers;"Cutpurses are minor thieves (often youths) who earn money from petty crimes such as pickpocketing or stealing items from market stalls. They are typically 1st-level commoners, experts, or rogues with 1 rank in Perception, Sleight of Hand, and Stealth.";
Driver;2;2;0;2;0;0;N/A;90;2;1;1;0;0;1;1;Laborers;Lackeys;"Drivers are trained to handle and move common animals—managing ox-drawn carts, herding cattle, or training riding horses. a Driver is typically a 1st-level expert with ranks in Handle Animal, Knowledge (geography), Profession (driver), Ride, and Survival.";
Elite Archers;7;0;7;7;0;0;N/A;380;5;4;8;0;6;2;5;"Archers,Elite Soldiers";Cavalry Archers;"An Elite Archers team consists of 3rd-level warriors, each with scale mail, a longbow, a buckler, and a longsword.";
Elite Guards;4;0;4;4;0;0;N/A;170;3;1;4;0;2;2;5;Guards;Elite Soldiers;"Like Guards, this team defends a location but doesn't take on an active role. An Elite Guards team consists of 3rd-level warriors, each wearing a chain shirt or banded mail and using a heavy steel shield and shortspear, a guisarme, or a halberd.";
Elite Soldiers;6;0;6;6;0;0;N/A;330;5;3;7;0;5;2;5;"Elite Guards,Soldiers";"Cavalry,Elite Archers";"Like Soldiers, this team will take aggressive action and seek out your enemies to kill them. An Elite Soldiers team consists of 3rd-level warriors, each wearing a chain shirt or banded mail and using a guisarme, a halberd, or a heavy steel shield and a shortspear.";
Guards;2;0;2;2;0;0;N/A;100;2;0;3;0;1;2;5;Laborers;"Elite Guards, Soldiers";"Guards train to watch over a person or location and defend that person or location if necessary. Unlike soldiers, guards are not expected to seek out trouble or take an aggressive role. Their purpose is to intimidate casual threats into leaving and defend against active threats. Each guard is typically a 1st-level warrior wearing scale mail and using either a glaive or a heavy wooden shield and shortspear.";
Laborers;2;0;0;2;0;0;N/A;70;0;1;2;0;0;2;5;N/A;"Drivers,Guards,Lackeys,Sailors,Scofflaws";"Laborers are unskilled workers who carry out basic orders. In most cases, their work is physical labor, though you may recruit laborers for specialized tasks such as begging for your thieves' guild, being professional mourners for your cult, or filling out the cast of a theater performance. They are typically 1st-level commoners with no ranks in Craft or Profession.";
Lackeys;0;0;2;2;0;0;N/A;120;1;2;2;0;1;2;5;"Drivers,Laborers";N/A;"Lackeys wait on you hand and foot and take care of common domestic and traveling issues; their ranks include butlers, valets, maids, heralds, footmen, ladies-in-waiting, and similar service personnel. Skilled Lackeys anticipate your needs and coordinate with your other employees as well as those of your guests or host. a typical Lackey is a 1st-level commoner or expert with ranks in a subset of Diplomacy, Disguise, Intimidate, Knowledge (local), Knowledge (nobility), Linguistics, Perception, and Sense Motive.";
Mage;7;0;7;0;7;0;Spellcaster;960;3;2;2;8;7;1;1;Apprentice;N/A;"A Mage is a skilled but not especially remarkable arcane spellcaster, often a 3rd-level bard, sorcerer, summoner, witch, or wizard.";
Priest;7;0;7;0;7;0;Spellcaster;810;3;3;3;6;7;1;1;Acolyte;N/A;"A Priest is a skilled but unremarkable divine spellcaster, typically a 3rd-level adept, cleric, druid, or oracle, with light armor (or no armor, if an adept) and a weapon appropriate to her faith.";
Robbers;4;4;4;0;0;0;N/A;200;1;4;3;0;3;2;5;Cutpurses;N/A;"Robbers are expert thieves who commit burglary, robbery, and other violent crimes for profit. a typical robber is a 3rd-level expert or rogue with 3 ranks each in Climb, Disable Device, Intimidate, Perception, and Stealth.";
Sage;5;0;5;0;0;0;N/A;200;5;2;2;0;4;1;1;"Acolyte,Apprentice";N/A;"A sage is a person with extensive knowledge in one or more related areas who can advise you about his areas of expertise. A typical sage is a 3rd-level expert with 3 ranks each in skills such as Appraise, Knowledge, Linguistics, Profession, and Spellcraft.";
Sailors;2;2;0;2;0;0;N/A;90;1;1;2;0;0;2;5;Laborers;N/A;"Sailors know how to sail a ship, navigate while at sea, and defend the vessel against pirates and other hostile boarders. A typical sailor is a 2nd-level expert with 2 ranks each in Acrobatics, Climb, Perception, Profession (sailor), Survival, and Swim.";
Scofflaws;2;2;2;0;0;0;N/A;130;0;3;2;0;1;2;5;Laborers;Buereaucrats;"Scofflaws provide illegal but consensual services such as gambling, moonshining, or underground fighting. Note that other kinds of teams might perform these services (you could recruit a Laborers team to work as prostitutes or a Guards team to run an arena, for example), but this kind of team is skilled at these tasks.";
Soldiers;5;0;5;5;0;0;N/A;220;3;2;5;0;2;2;5;Guards;"Archers,Bureaucrats,Cavalry,Elite Soldiers";"Soldiers are trained in combat and have the means and will to kill your enemies. Unlike Guards, Soldiers actively engage in fighting on behest of a leader (although you can make Soldiers act as Guards). Depending on the nature of your organization, they might be enforcers rather than military-style soldiers. They are typically 1st-level warriors, each with scale mail, a longsword, a heavy wooden shield, and javelins.";
